id	dairy	dairylike	beer	wine	juice	water	softdrink	coffee	energydrink	proteindrink	tea	alcohol	otherdrink
China Green Gyokuro Organic Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
China Green Mao Jian 'B' Organic Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
China Green Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
China Jasmine Da Zhang Organic Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
China Jasmine Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
China Keemun First Grade Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
China Keemun Mao Feng Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
China Lychee Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
China Oolong Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
China Panyang Congou Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
China Rose Special Chun Mee Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
China Silver Needle Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
China Special Green Organic Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
China Yunnan Organic Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
China Yunnan Rare Grade Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Chinese Herb Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Chinese Ornamental Brick Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Chinese Sweet Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Chiran Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Chocolate Earl Grey Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Christmas Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Chrysanthemum Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Chun Mee Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Cinnamon Plum Fruit Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Clamato	0	0	0	0	0	0	0	0	0	0	0	0	1
Cloud Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Coca Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Coffee Cherry Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Coffee Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Colonche	0	0	0	0	0	0	0	0	0	0	0	1	0
Competition Temomicha Grade A Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Compressed Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Congou Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Constant Comment Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Crème Caramel Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Crème Vanilla Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
