id
Achilles
Ahab
Apanuugak
Aragorn
Aramis
Arjuna
Arwen
Atonga
AuCo
Ayesha
Baggins
Barbarella
Bellerophon
Beowulf
Bhima
Bilbo
Boromir
Brandybuck
Cadmus
Castor
Cecrops
Celeborn
Conan
D'Artagnan
Dagar
Denethor
Diomedes
DorianGray
Durin
Elostirion
Elrond
Enkidu
Faramir
Frodo Baggins
Galadriel
Gamgee
Gandalf
Gilgamesh
Gimli
Gollum
Greenleaf
Gríma
Gulliver
Half-Elven
Harishchandra
Hektor
Helsing
Hengest
Herakles
Hercules
Holmes
Horsa
Ivanhoe
Janus
John Henry
Karna
King Arthur
Kiviuq
LacLongQuan
Legolas
Loki
Magno
Meriadoc 
MoonGirl
Moriarty
Nanabozho
Nazgul
Nemo
Nyarlathotep
Odin
Odysseus
Odysseus
Orthanc
Osgiliath
Palamedes
PaulBunyan
Peregrin 
Perseus
Phoroneus
Pollux
Porthos
Prometheus
RobinHood
Samwise
Saruman
Sauron
Sceafa
Scheherazade
Shelob
Sherlock
Shivi
Starkad
Tangaroa
Tarchon
ThachSanh
ThanhGiong
Theseus
Thor
Théoden
Tom Bombadil
Took
Treebeard
Triptolemos
Tyrrhenus
Undómiel
Vikramaditya
Weyland
Wormtongue
Ziusudra
Éomer
Éowyn
